[883142F45FADAB550AFB92F25610FB2A] GET http://localhost:4000/events/new (Document)
[883142F45FADAB550AFB92F25610FB2A] GET http://localhost:4000/events/new?__clerk_handshake=[REDACTED_JWT] (Document)
[883142F45FADAB550AFB92F25610FB2A] GET http://localhost:4000/events/new (Document)
[883142F45FADAB550AFB92F25610FB2A] GET http://localhost:4000/events/new?__clerk_handshake=[REDACTED_JWT] (Document)
[883142F45FADAB550AFB92F25610FB2A] GET http://localhost:4000/events/new (Document)
[883142F45FADAB550AFB92F25610FB2A] GET http://localhost:4000/events/new?__clerk_handshake=[REDACTED_JWT] (Document)
[883142F45FADAB550AFB92F25610FB2A] GET http://localhost:4000/events/new (Document)
[883142F45FADAB550AFB92F25610FB2A] GET http://localhost:4000/login?redirect_url=http%3A%2F%2Flocalhost%3A4000%2Fevents%2Fnew (Document)
[883142F45FADAB550AFB92F25610FB2A] GET http://localhost:4000/login?__clerk_handshake=[REDACTED_JWT]&redirect_url=http%3A%2F%2Flocalhost%3A4000%2Fevents%2Fnew (Document)
[883142F45FADAB550AFB92F25610FB2A] GET http://localhost:4000/login?redirect_url=http%3A%2F%2Flocalhost%3A4000%2Fevents%2Fnew (Document)
[883142F45FADAB550AFB92F25610FB2A] GET http://localhost:4000/login?__clerk_handshake=[REDACTED_JWT]&redirect_url=http%3A%2F%2Flocalhost%3A4000%2Fevents%2Fnew (Document)
[883142F45FADAB550AFB92F25610FB2A] GET http://localhost:4000/login?redirect_url=http%3A%2F%2Flocalhost%3A4000%2Fevents%2Fnew (Document)
[883142F45FADAB550AFB92F25610FB2A] GET http://localhost:4000/login?__clerk_handshake=[REDACTED_JWT]&redirect_url=http%3A%2F%2Flocalhost%3A4000%2Fevents%2Fnew (Document)
[883142F45FADAB550AFB92F25610FB2A] GET http://localhost:4000/login?redirect_url=http%3A%2F%2Flocalhost%3A4000%2Fevents%2Fnew (Document) 200
[17071.2] GET http://localhost:4000/_next/static/chunks/src_app_globals_0p2ml0n.css (Stylesheet) 200
[17071.3] GET http://localhost:4000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0pyq27g._.js (Script) 200
[17071.4] GET http://localhost:4000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js (Script) 200
[17071.5] GET http://localhost:4000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_0553esy.js (Script) 200
[17071.6] GET http://localhost:4000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_0p3wegg._.js (Script) 200
[17071.7] GET http://localhost:4000/_next/static/chunks/node_modules_next_dist_compiled_03z8m4g._.js (Script) 200
[17071.8] GET http://localhost:4000/_next/static/chunks/node_modules_next_dist_shared_lib_12au7sk._.js (Script) 200
[17071.9] GET http://localhost:4000/_next/static/chunks/node_modules_next_dist_client_0.0dnbh._.js (Script) 200
[17071.10] GET http://localhost:4000/_next/static/chunks/node_modules_next_dist_0nzbwyu._.js (Script) 200
[17071.11] GET http://localhost:4000/_next/static/chunks/node_modules_next_router_0r7w7aj.js (Script) 200
[17071.12] GET http://localhost:4000/_next/static/chunks/node_modules_%40sentry_core_build_esm_0b998jq._.js (Script) 200
[17071.13] GET http://localhost:4000/_next/static/chunks/node_modules_%40sentry_browser_build_npm_esm_dev_0aure1t._.js (Script) 200
[17071.14] GET http://localhost:4000/_next/static/chunks/node_modules_%40sentry-internal_browser-utils_build_esm_0ji9y8g._.js (Script) 200
[17071.15] GET http://localhost:4000/_next/static/chunks/node_modules_0bww7vh._.js (Script) 200
[17071.16] GET http://localhost:4000/_next/static/chunks/_03pz43w._.js (Script) 200
[17071.17] GET http://localhost:4000/_next/static/chunks/_0rqeker._.js (Script) 200
[17071.18] GET http://localhost:4000/_next/static/chunks/turbopack-_09zt5g-._.js (Script) 200
[17071.19] GET http://localhost:4000/_next/static/chunks/node_modules_%40clerk_nextjs_dist_esm_app-router_0_1.0fz._.js (Script) 200
[17071.20] GET http://localhost:4000/_next/static/chunks/node_modules_083j-87._.js (Script) 200
[17071.21] GET http://localhost:4000/_next/static/chunks/src_app_layout_tsx_0b5ufm2._.js (Script) 200
[17071.22] GET http://localhost:4000/_next/static/chunks/_0~m4fcu._.js (Script) 200
